Label;Part Type;mn;mpn;part number;
DHT1;DHT22 Humidity and Temperature Sensor;;;;
DS1;DS18B20 1-Wire Temperature Sensor Probe;;;;
HC-SR04 Sensor 1;HC-SR04 Ultrasonic Distance Sensor;;;;
HC-SR04 Sensor 2;HC-SR04 Ultrasonic Distance Sensor;;;;
J1;Generic female header - 2 pins;;;;
J2;Power Jack;;;;
JACK1;2.1mm Barrel Jack with Terminal Block;;;;
JACK3;2.1mm Barrel Jack with Terminal Block;;;;
JACK4;2.1mm Barrel Jack with Terminal Block;;;;
L298N1;L298N DC motor driver;;;;
M1;DC Motor;;;;
Part1;Arduino Uno (Rev3) - ICSP;;;;
R1;10kΩ Resistor;;;;
Sensor1;Gas Sensor Breakout Board;;;;
U1;ESP32-38PinWide;;;ESP32-38PinWide;
U2;ESP32-38PinWide;;;ESP32-38PinWide;
WATER PUMP1;water pump/motor;;;;
YwRobot Power Supply1;YwRobot Breadboard Power Supply;;;545043;

Amount;Part Type;mn;mpn;part number;
1;10kΩ Resistor;;;;
3;2.1mm Barrel Jack with Terminal Block;;;;
1;Arduino Uno (Rev3) - ICSP;;;;
1;DC Motor;;;;
1;DHT22 Humidity and Temperature Sensor;;;;
1;DS18B20 1-Wire Temperature Sensor Probe;;;;
2;ESP32-38PinWide;;;ESP32-38PinWide;
1;Gas Sensor Breakout Board;;;;
1;Generic female header - 2 pins;;;;
2;HC-SR04 Ultrasonic Distance Sensor;;;;
1;L298N DC motor driver;;;;
1;Power Jack;;;;
1;YwRobot Breadboard Power Supply;;;545043;
1;water pump/motor;;;;
